"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10882","Second Playwright test","","Fri May 30 21:59:57 BST 2025","passed","Fri May 30 22:00:07 BST 2025","","ClientApp.spec.js","",""
"","7032","@Web Client App login","","Fri May 30 22:00:11 BST 2025","passed","Fri May 30 22:00:18 BST 2025","","WebAPIPart2.spec.js","",""
"","25975","Cart Number updates while adding or removing items","","Fri May 30 22:00:13 BST 2025","passed","Fri May 30 22:00:39 BST 2025","","ClientApp2.spec.js","",""
"","6598","@Web Client App login","","Fri May 30 22:00:06 BST 2025","passed","Fri May 30 22:00:13 BST 2025","","ClientApp2.spec.js","",""
"","4896","@Web Client App login","","Fri May 30 22:00:08 BST 2025","passed","Fri May 30 22:00:13 BST 2025","","ClientApp.spec.js","",""
"","3166","UI Controls","","Fri May 30 22:00:15 BST 2025","passed","Fri May 30 22:00:19 BST 2025","","UIBasicstest.spec.js","",""
"","9104","Second Playwright test","","Fri May 30 21:59:57 BST 2025","passed","Fri May 30 22:00:06 BST 2025","","ClientApp2.spec.js","",""
"","18261","Cart APp","","Fri May 30 22:00:39 BST 2025","passed","Fri May 30 22:00:57 BST 2025","","ClientApp2.spec.js","",""
"","12980","Client App Login","","Fri May 30 21:59:57 BST 2025","passed","Fri May 30 22:00:10 BST 2025","","WebAPIPart1.spec.js","",""
"","7115","Correct Sign in","","Fri May 30 22:00:06 BST 2025","passed","Fri May 30 22:00:13 BST 2025","","UIBasicstest.spec.js","",""
"","8744","Incorrect Password","","Fri May 30 21:59:57 BST 2025","passed","Fri May 30 22:00:05 BST 2025","","UIBasicstest.spec.js","",""
"","7485","@Child windows hadl","","Fri May 30 22:00:19 BST 2025","passed","Fri May 30 22:00:26 BST 2025","","UIBasicstest.spec.js","",""
"","2264","Second Playwright test","","Fri May 30 22:00:13 BST 2025","passed","Fri May 30 22:00:15 BST 2025","","UIBasicstest.spec.js","",""
